trip_date,trip_year,trip_quarter,trip_month,trip_month_name,total_trips,total_revenue,total_passengers
2022-01-01,2022,Q1,1,January,63441,1330638.29,96372
2022-01-02,2022,Q1,1,January,58421,1329446.47,86127
2022-01-03,2022,Q1,1,January,72405,1513871.22,99944
2022-01-04,2022,Q1,1,January,74562,1476121.01,101120
2022-01-05,2022,Q1,1,January,74592,1443025.39,100118
2022-01-06,2022,Q1,1,January,79909,1489668.14,107698
2022-01-07,2022,Q1,1,January,71590,1712217.66,98044
2022-01-08,2022,Q1,1,January,83177,1538964.97,119897
2022-01-09,2022,Q1,1,January,64014,1281540.9,91050
2022-01-10,2022,Q1,1,January,73692,1387224.21,96795
2022-01-11,2022,Q1,1,January,77603,1395534.42,101239
2022-01-12,2022,Q1,1,January,80352,1463859.49,105318
2022-01-13,2022,Q1,1,January,84952,1577437.97,112418
2022-01-14,2022,Q1,1,January,93817,1773525.23,127169
2022-01-15,2022,Q1,1,January,88704,1608275.65,125391
2022-01-16,2022,Q1,1,January,72783,1381919.28,102306
2022-01-17,2022,Q1,1,January,63518,1294964.35,86198
2022-01-18,2022,Q1,1,January,84603,1606688.6,110367
2022-01-19,2022,Q1,1,January,86640,1580338.68,113191
2022-01-20,2022,Q1,1,January,90778,1655484.26,118269
2022-01-21,2022,Q1,1,January,101054,1840712.53,134224
2022-01-22,2022,Q1,1,January,96587,1721959.11,136139
2022-01-23,2022,Q1,1,January,76914,1503166.83,106850
2022-01-24,2022,Q1,1,January,78541,1472686.97,101780
2022-01-25,2022,Q1,1,January,87349,1587978.92,114259
2022-01-26,2022,Q1,1,January,96747,1745617.25,125686
2022-01-27,2022,Q1,1,January,99766,1893591.91,129632
2022-01-28,2022,Q1,1,January,95873,1871133.4,126607
2022-01-29,2022,Q1,1,January,34388,596288.57,43003
2022-01-30,2022,Q1,1,January,71229,1423532.52,96067
2022-01-31,2022,Q1,1,January,85899,1734141.97,110804
2022-02-01,2022,Q1,2,February,92359,1806483.94,119814
2022-02-02,2022,Q1,2,February,92576,1835765.71,119151
2022-02-03,2022,Q1,2,February,104562,2009564.94,134026
2022-02-04,2022,Q1,2,February,110309,2008270.97,145515
2022-02-05,2022,Q1,2,February,116980,2110812.85,161795
2022-02-06,2022,Q1,2,February,88141,1737749.48,122389
2022-02-07,2022,Q1,2,February,88867,1752935.12,115354
2022-02-08,2022,Q1,2,February,102781,1922509.5,133031
2022-02-09,2022,Q1,2,February,106089,1986485.77,137409
2022-02-10,2022,Q1,2,February,112804,2181550.72,146735
2022-02-11,2022,Q1,2,February,117752,2329721.63,158116
2022-02-12,2022,Q1,2,February,119684,2264516.3,169390
2022-02-13,2022,Q1,2,February,93022,1813433.55,127585
2022-02-14,2022,Q1,2,February,110542,2122451.41,145291
2022-02-15,2022,Q1,2,February,110483,2121971.06,142548
2022-02-16,2022,Q1,2,February,110268,2105653.61,144272
2022-02-17,2022,Q1,2,February,113142,2215957.16,148096
2022-02-18,2022,Q1,2,February,116275,2377824.88,156851
2022-02-19,2022,Q1,2,February,114374,2158245.13,165049
2022-02-20,2022,Q1,2,February,95331,1904255.81,137257
2022-02-21,2022,Q1,2,February,85869,1826995.56,120828
2022-02-22,2022,Q1,2,February,101396,2025356.69,135847
2022-02-23,2022,Q1,2,February,112205,2216738.41,149393
2022-02-24,2022,Q1,2,February,119890,2372139.28,159530
2022-02-25,2022,Q1,2,February,118228,2308018.16,161150
2022-02-26,2022,Q1,2,February,123056,2370189.7,174158
2022-02-27,2022,Q1,2,February,100167,2100926.34,141339
2022-02-28,2022,Q1,2,February,102266,2105381.44,134188
2022-03-01,2022,Q1,3,March,113958,2290448.21,149328
2022-03-02,2022,Q1,3,March,119863,2389519.17,156001
2022-03-03,2022,Q1,3,March,129290,2585340.53,169807
2022-03-04,2022,Q1,3,March,128505,2589837.58,171337
2022-03-05,2022,Q1,3,March,120368,2308828.08,170779
2022-03-06,2022,Q1,3,March,95853,2039665.9,134557
2022-03-07,2022,Q1,3,March,99695,2061060.25,130386
2022-03-08,2022,Q1,3,March,117165,2355140.44,153852
2022-03-09,2022,Q1,3,March,120057,2427444.16,155109
2022-03-10,2022,Q1,3,March,124861,2635569.42,163487
2022-03-11,2022,Q1,3,March,129455,2708148.42,173475
2022-03-12,2022,Q1,3,March,121777,2287753.02,172679
2022-03-13,2022,Q1,3,March,100133,2115743.57,140292
2022-03-14,2022,Q1,3,March,98693,2114212.13,131365
2022-03-15,2022,Q1,3,March,112732,2328981.29,148957
2022-03-16,2022,Q1,3,March,119733,2485529.91,159435
2022-03-17,2022,Q1,3,March,116634,2485862.01,156057
2022-03-18,2022,Q1,3,March,128278,2757757.4,175044
2022-03-19,2022,Q1,3,March,120655,2425908.09,172412
2022-03-20,2022,Q1,3,March,100169,2280646.33,139200
2022-03-21,2022,Q1,3,March,100551,2174061.57,133999
2022-03-22,2022,Q1,3,March,113333,2319127.2,148674
2022-03-23,2022,Q1,3,March,122056,2469414,161241
2022-03-24,2022,Q1,3,March,124345,2556177.76,163786
2022-03-25,2022,Q1,3,March,124059,2609439.28,169745
2022-03-26,2022,Q1,3,March,127324,2501170.95,182665
2022-03-27,2022,Q1,3,March,107222,2289977.29,150245
2022-03-28,2022,Q1,3,March,112277,2330733.36,146984
2022-03-29,2022,Q1,3,March,123866,2508631.2,161155
2022-03-30,2022,Q1,3,March,126442,2571919.38,164975
2022-03-31,2022,Q1,3,March,128538,2707734.93,168551