trip_year,trip_quarter,trip_month,trip_month_name,trip_hour,total_trips,total_revenue,total_passengers
2022,Q1,1,January,0,60056,1244034.55,83792
2022,Q1,1,January,1,42313,832189.63,59763
2022,Q1,1,January,2,29193,553159.89,41043
2022,Q1,1,January,3,19306,378024.19,27015
2022,Q1,1,January,4,12826,284073.4,17205
2022,Q1,1,January,5,14443,366603.77,18038
2022,Q1,1,January,6,36205,789077.63,43829
2022,Q1,1,January,7,74137,1398147.24,92408
2022,Q1,1,January,8,101528,1855176.92,128476
2022,Q1,1,January,9,109374,1951409.8,140851
2022,Q1,1,January,10,119816,2136170.73,157770
2022,Q1,1,January,11,129560,2663768.1,172464
2022,Q1,1,January,12,142216,2505434.11,189984
2022,Q1,1,January,13,147878,2702599.57,199229
2022,Q1,1,January,14,163858,3100879.62,223338
2022,Q1,1,January,15,174416,3324736.64,240034
2022,Q1,1,January,16,168564,3335243.52,229646
2022,Q1,1,January,17,176701,3425408.17,239346
2022,Q1,1,January,18,177696,3314730.44,238040
2022,Q1,1,January,19,151346,2864986.11,205487
2022,Q1,1,January,20,117991,2288600.43,163037
2022,Q1,1,January,21,109627,2153226.71,154666
2022,Q1,1,January,22,104648,2105192.71,147536
2022,Q1,1,January,23,80202,1658682.29,111085
2022,Q1,2,February,0,77915,1604079.36,107134
2022,Q1,2,February,1,52125,1007093.43,72034
2022,Q1,2,February,2,36769,681870.66,50720
2022,Q1,2,February,3,24526,470350.66,33556
2022,Q1,2,February,4,15656,355170.73,20441
2022,Q1,2,February,5,16296,427979.55,19861
2022,Q1,2,February,6,45378,1009952.99,54435
2022,Q1,2,February,7,88971,1729265.8,110184
2022,Q1,2,February,8,117704,2231345.82,147072
2022,Q1,2,February,9,127011,2341496.75,163198
2022,Q1,2,February,10,137778,2522812.04,181761
2022,Q1,2,February,11,147695,2680666.03,196508
2022,Q1,2,February,12,162714,3020862.15,217688
2022,Q1,2,February,13,169213,3205330.16,228615
2022,Q1,2,February,14,182878,3594283.77,249536
2022,Q1,2,February,15,192429,3866104.94,264049
2022,Q1,2,February,16,190543,3932546.08,260866
2022,Q1,2,February,17,210468,4222819.24,281853
2022,Q1,2,February,18,223517,4273584.92,295382
2022,Q1,2,February,19,196811,3754711.17,264877
2022,Q1,2,February,20,157818,3068805.65,218288
2022,Q1,2,February,21,149096,2903370.75,210650
2022,Q1,2,February,22,142550,2852817.46,200610
2022,Q1,2,February,23,113557,2334585.01,156789
2022,Q1,3,March,0,93825,2037734.32,129846
2022,Q1,3,March,1,61472,1269362.11,85699
2022,Q1,3,March,2,38500,745922.76,53538
2022,Q1,3,March,3,28722,572379.85,39572
2022,Q1,3,March,4,19131,457356.4,25063
2022,Q1,3,March,5,21751,638979.2,26306
2022,Q1,3,March,6,56491,1332818.35,67415
2022,Q1,3,March,7,109770,2288368.72,133745
2022,Q1,3,March,8,145612,2911648.95,180063
2022,Q1,3,March,9,157693,3087726.87,200930
2022,Q1,3,March,10,170119,3311598.38,223756
2022,Q1,3,March,11,182886,3597797.79,242523
2022,Q1,3,March,12,197349,3898219.76,263739
2022,Q1,3,March,13,202832,4090043.28,273539
2022,Q1,3,March,14,219394,4578767.48,297883
2022,Q1,3,March,15,227087,4846234.89,310727
2022,Q1,3,March,16,229821,5085752.23,313133
2022,Q1,3,March,17,251209,5285622.09,339045
2022,Q1,3,March,18,266362,5298958.92,357743
2022,Q1,3,March,19,238629,4728102.37,324718
2022,Q1,3,March,20,202235,4043565.3,279742
2022,Q1,3,March,21,192000,3879634.74,270500
2022,Q1,3,March,22,175689,3692608.25,244428
2022,Q1,3,March,23,139308,3032579.82,191926